plant_name,plant_key,generation_type,generation_subtype,region,energy_type,renewable_factor,25,total,mwh,hour,timestamp
PMGD PFV MOYA,Moya,Solar,(en blanco),Región del Bío-Bío,ernc,1.0,0.0,59.12788743466991,0.0,1,2024-10-22 00:00:00
PMGD TER LAS PAMPAS [No_Mostrar],Las Pampas,Térmica,BioGas,Región de O'Higgins,ernc,1.0,0.0,0.0,0.0,1,2024-10-22 00:00:00
HP ALFALFAL II,ALFALFAL 2,Hidráulica,Pasada,Región Metropolitana,convencional,0.0,0.0,0.0,0.0,1,2024-10-22 00:00:00
HP LAS LAJAS,LAS LAJAS,Hidráulica,Pasada,Región Metropolitana,convencional,0.0,0.0,0.0,0.0,1,2024-10-22 00:00:00
PMGD PFV EL PIUQUEN,El Piuquen,Solar,(en blanco),Región de Ñuble,ernc,1.0,0.0,17.367792912483733,0.0,1,2024-10-22 00:00:00
PFV LA CRUZ SOLAR,PFV LA CRUZ SOLAR,Solar,(en blanco),Región de Antofagasta,ernc,1.0,0.0,334.41753562403267,0.0,1,2024-10-22 00:00:00
HP SAUZAL,SAUZAL 60 Hz,Hidráulica,Pasada,Región de O'Higgins,convencional,0.0,0.0,0.0,0.0,1,2024-10-22 00:00:00
PMGD PFV PARQUE ALHUE,PMGD PFV ALHUE,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,1.589478574650371,0.0,1,2024-10-22 00:00:00
PMGD PFV ERINOME,PMGD PFV Erinome,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,10.94917835511718,0.0,1,2024-10-22 00:00:00
HP ANCOA,ANCOA,Hidráulica,Pasada,Región del Maule,ernc,0.4,0.0,258.00468460644794,10.826071075163913,1,2024-10-22 00:00:00
PMGD PFV LOS TORDOS,PMGD PFV Los Tordos,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,36.66854962774846,0.0,1,2024-10-22 00:00:00
BESS Arica,BESS Arica (Inyección),Bess,(en blanco),Arica y Parinacota,convencional,0.0,0.0,0.0,0.0,1,2024-10-22 00:00:00
